RX Date/Time,Group/Time,Group/New Plot
2025/11/16 23:44:46::272,665126418,279.682
2025/11/16 23:44:46::272,665126421,278.876
2025/11/16 23:44:46::272,665126424,279.682
2025/11/16 23:44:46::272,665126426,282.100
2025/11/16 23:44:46::272,665126429,283.712
2025/11/16 23:44:46::272,665126432,274.846
2025/11/16 23:44:46::272,665129385,238.576
2025/11/16 23:44:46::272,665129388,248.248
2025/11/16 23:44:46::272,665129391,253.890
2025/11/16 23:44:46::272,665129393,259.532
2025/11/16 23:44:46::272,665129396,262.756
2025/11/16 23:44:46::272,665129399,265.980
2025/11/16 23:44:46::272,665129401,269.204
2025/11/16 23:44:46::272,665129404,271.622
2025/11/16 23:44:46::272,665129406,271.622
2025/11/16 23:44:46::272,665129409,278.876
2025/11/16 23:44:46::272,665129412,273.234
2025/11/16 23:44:46::272,665129414,279.682
2025/11/16 23:44:46::272,665129417,271.622
2025/11/16 23:44:46::272,665129420,278.876
2025/11/16 23:44:46::272,665129422,278.876
2025/11/16 23:44:46::272,665129425,278.876
2025/11/16 23:44:46::272,665129427,279.682
2025/11/16 23:44:46::272,665129430,279.682
2025/11/16 23:44:46::272,665129433,279.682
2025/11/16 23:44:46::272,665129435,279.682
2025/11/16 23:44:46::272,665132380,230.516
2025/11/16 23:44:46::272,665132382,239.382
2025/11/16 23:44:46::272,665132385,247.442
2025/11/16 23:44:46::272,665132388,254.696
2025/11/16 23:44:46::272,665132390,258.726
2025/11/16 23:44:46::272,665132393,261.950
2025/11/16 23:44:46::272,665132396,263.562
2025/11/16 23:44:46::272,665132398,266.786
2025/11/16 23:44:46::272,665132401,268.398
2025/11/16 23:44:46::272,665132403,270.816
2025/11/16 23:44:46::272,665132406,270.816
2025/11/16 23:44:46::272,665132409,278.070
2025/11/16 23:44:46::272,665132411,273.234
2025/11/16 23:44:46::272,665132414,274.846
2025/11/16 23:44:46::273,665132417,268.398
2025/11/16 23:44:46::273,665132419,283.712
2025/11/16 23:44:46::273,665132422,278.876
2025/11/16 23:44:46::273,665132425,278.070
2025/11/16 23:44:46::273,665132427,278.070
2025/11/16 23:44:46::273,665132430,277.264
2025/11/16 23:44:46::273,665135395,207.142
2025/11/16 23:44:46::273,665135397,220.038
2025/11/16 23:44:46::273,665135400,229.710
2025/11/16 23:44:46::273,665135403,240.188
2025/11/16 23:44:46::273,665135405,247.442
2025/11/16 23:44:46::273,665135408,259.532
2025/11/16 23:44:46::273,665135411,259.532
2025/11/16 23:44:46::273,665135413,265.174
